doctor_id,department_id,day_of_week,appointment_hour,patients_ahead,queue_length,average_consultation_time,appointments_scheduled,historical_average_wait,waiting_time_minutes
7,5,5,16,5,9,21.1,27,91.5,128.0
4,5,6,9,5,8,19.4,28,86.3,99.8
8,4,5,13,13,15,19.3,17,211.5,180.0
5,1,1,14,4,9,8.5,12,30.6,41.0
7,5,6,11,10,13,18.7,32,155.8,180.0
10,2,4,13,3,7,14.4,23,44.0,50.1
3,5,3,14,10,11,19.6,18,169.7,180.0
7,4,3,11,3,7,17.4,17,43.8,64.7
8,2,4,15,2,6,16.1,26,25.0,40.5
5,4,4,16,9,12,16.4,32,125.0,180.0
4,2,4,8,7,12,14.4,32,84.7,118.3
8,3,2,14,6,9,13.3,33,73.9,83.5
8,1,6,16,8,9,8.3,25,52.5,81.2
3,1,3,17,0,3,11.8,19,0.4,1.8
6,4,6,12,6,8,19.9,30,101.7,139.8
5,1,5,9,9,13,8.4,19,63.6,81.0
2,4,3,17,3,8,17.2,34,43.4,53.7
8,4,2,13,6,7,17.5,34,88.8,107.7
6,4,4,14,12,16,19.1,33,197.5,180.0
2,1,1,9,11,14,10.4,15,98.9,122.6
5,4,4,9,0,2,18.6,31,1.3,7.1
1,1,4,17,4,7,11.0,26,28.4,55.8
10,4,2,17,2,6,16.5,25,28.9,41.2
6,5,6,8,4,5,21.3,24,67.6,91.0
9,4,3,11,3,8,18.8,31,49.9,78.3
1,2,4,14,1,5,15.3,23,17.4,19.9
10,4,3,16,10,11,19.6,13,163.5,180.0
3,3,0,10,3,7,12.8,13,31.9,55.5
7,4,5,14,2,4,16.8,11,26.8,43.1
4,2,6,14,12,15,14.7,20,153.8,180.0
9,2,3,14,0,5,15.0,13,0.3,5.9
3,1,1,9,11,12,8.2,30,82.1,101.3
5,5,5,13,9,14,21.8,30,168.2,180.0
3,4,1,9,7,12,16.5,25,99.0,122.1
7,1,4,13,14,19,10.8,30,128.6,172.9
5,5,5,17,4,5,20.0,13,70.5,90.3
9,4,3,10,3,4,16.1,10,35.8,59.4
7,3,5,9,9,14,13.7,33,105.1,133.9
2,4,4,13,11,14,19.4,28,181.2,180.0
4,2,2,9,4,8,15.1,11,53.5,62.9
9,2,6,12,3,8,13.9,18,34.9,54.2
2,3,1,9,2,4,10.5,32,14.7,26.4
10,1,4,10,4,9,9.5,34,32.2,53.9
9,5,2,10,3,4,19.0,22,45.3,64.3
10,4,5,13,14,18,18.0,27,208.7,180.0
5,2,5,13,0,2,16.9,25,2.2,4.8
2,1,4,17,11,15,10.3,25,98.0,139.1
4,3,3,10,2,6,13.6,34,24.5,25.8
7,2,5,10,9,11,15.6,19,123.3,173.0
8,3,3,8,14,19,11.9,18,139.6,178.2
3,4,3,14,9,14,19.4,20,144.3,180.0
1,5,6,15,7,12,19.9,34,118.1,140.9
4,2,3,9,6,9,16.5,13,83.0,106.3
2,2,0,11,1,6,14.2,19,9.5,22.0
8,4,6,17,0,2,16.5,12,0.0,0.0
4,1,2,14,2,5,11.4,15,17.6,31.0
2,5,2,15,4,9,20.3,12,63.7,86.5
6,2,5,8,9,12,16.6,18,125.3,153.4
6,5,5,11,14,16,21.8,12,255.4,180.0
10,2,3,13,10,15,13.2,27,113.0,131.6
4,5,6,10,11,12,20.0,17,185.1,180.0
6,3,6,12,0,2,11.5,31,3.3,2.0
2,2,0,17,2,6,15.5,17,31.2,39.7
10,5,3,16,2,6,21.2,24,38.0,54.7
2,1,0,10,4,6,9.1,22,26.4,43.6
10,3,3,12,2,6,12.2,16,25.3,28.7
4,3,1,15,12,14,12.8,28,135.6,157.6
8,1,1,13,8,9,8.5,17,58.1,71.7
7,5,4,11,0,2,21.3,19,4.0,1.3
9,4,3,15,3,8,18.4,26,45.3,61.0
8,1,6,10,12,17,11.8,10,114.7,169.9
5,5,5,10,12,15,19.4,22,195.2,180.0
2,1,2,11,9,13,8.4,22,69.7,100.5
5,1,4,16,9,13,10.0,33,72.2,125.3
8,2,5,12,3,5,13.3,25,34.0,49.1
10,5,1,15,0,4,21.9,18,0.1,0.0
9,4,3,13,13,18,16.2,19,177.0,180.0
9,2,4,10,1,2,16.0,15,12.3,15.5
1,1,3,15,10,12,10.1,14,86.1,105.7
9,1,1,16,0,4,9.5,11,0.0,0.0
7,1,4,15,5,10,8.3,20,30.9,45.8
9,5,1,11,2,5,20.5,18,35.5,48.5
8,5,0,13,6,10,20.3,15,107.0,135.8
1,2,1,8,4,5,14.1,17,50.6,59.0
8,4,6,11,8,9,19.6,18,131.1,180.0
8,2,6,15,6,10,14.2,18,68.8,87.8
3,3,3,8,3,7,11.8,17,29.2,37.4
1,1,2,10,4,9,10.2,21,39.3,50.4
8,1,1,8,4,8,8.4,17,30.5,40.8
3,1,5,16,10,13,11.7,12,101.8,134.9
3,2,6,9,14,19,14.5,22,175.2,180.0
1,2,2,16,4,6,13.3,28,46.6,64.0
5,1,0,11,9,12,9.5,11,73.4,117.0
10,2,4,9,8,13,15.4,26,106.7,147.6
7,5,4,11,9,14,20.1,25,151.8,180.0
10,5,6,17,2,3,20.8,13,31.1,45.3
9,2,2,13,5,10,13.2,27,58.4,78.2
7,1,6,14,7,10,9.1,23,58.1,67.9
9,2,4,10,10,14,16.3,11,135.0,180.0
8,2,1,10,8,11,13.3,22,93.0,127.2
2,2,2,17,12,14,16.4,30,172.5,180.0
1,3,3,15,14,19,10.4,29,123.4,144.2
7,5,1,12,6,11,21.3,26,106.4,158.1
7,4,1,11,11,16,17.4,24,163.5,180.0
8,4,1,14,2,7,18.4,34,29.7,41.7
5,3,3,14,0,1,10.6,29,0.0,0.0
3,2,0,16,3,4,13.3,14,35.1,45.0
8,3,5,16,12,16,10.9,16,106.0,147.1
6,3,6,12,5,10,10.5,27,40.3,61.7
3,1,4,15,2,4,9.2,33,15.8,26.7
1,5,6,17,13,17,20.1,20,221.6,180.0
3,4,2,8,0,5,18.4,27,1.0,0.4
5,2,0,16,5,6,16.2,14,74.3,97.0
3,4,2,15,13,15,18.6,22,206.1,180.0
1,4,6,13,0,4,18.4,27,1.8,7.9
